       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
      m6k9                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      26.159364325
     m6k10                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      26.377932195
     m6k11                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      28.515863629
     m6k12                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      28.777141211
     m6k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      30.008511488
     m6k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      31.463650361
     m6k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18             65006      31.795928366
     m6k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18             88666      31.534095559
     m6k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18            118690      32.735445936
     m6k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18             57348      31.428905321
     m6k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18            268947      32.565833422
     m6k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18            459329      32.130961507
      m7k1                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                12                 0      10.921777494
      m7k2                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                16                 0      13.504139852
      m7k3                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      15.298391672
      m7k4                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       17.85815574
      m7k5                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      21.703405818
      m7k6                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      22.199667394
      m7k7                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      23.561962575
      m7k8                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      25.470066127
      m7k9                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      26.174139675
     m7k10                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      29.128755805
     m7k11                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      29.693975455
     m7k12                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      32.101227288
     m7k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0        31.5708978
     m7k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.812422029
     m7k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.237762712
     m7k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.357469402
     m7k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.121271196
     m7k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.584074067
     m7k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.536475335
     m7k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.354489519
      m8k1                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                13                 0      11.371019011
      m8k2                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                17                 0      14.391943344
      m8k3                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      16.099156599
      m8k4                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      18.934933946
      m8k5                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      22.884502929
      m8k6                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      23.045062832
      m8k7                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      25.909020169
      m8k8                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      27.868524497
      m8k9                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      29.857217651
     m8k10                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      32.553682041
     m8k11                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.436996684
     m8k12                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      34.599889561
     m8k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.923514141
     m8k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.860859058
     m8k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.457583515
     m8k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.274021484
     m8k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       37.14634315
     m8k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.348412149
     m8k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       36.85082467
     m8k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.811413673
      m9k1                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                14                 0      12.178385365
      m9k2                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0       14.86066462
      m9k3                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      16.865947947
      m9k4                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      19.325336046
      m9k5                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      22.442789806
      m9k6                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      24.845465146
      m9k7                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      26.142576899
      m9k8                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      29.462245023
      m9k9                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      30.149356929
     m9k10                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      32.601565009
     m9k11                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      33.200612229
     m9k12                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.079235501
     m9k13                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.899653377
     m9k14                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.144171773
     m9k15                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.225036167
     m9k16                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      35.211313053
     m9k17                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.732786425
     m9k18                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.575064249
     m9k19                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      36.668996038
     m9k20                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      37.045495224
     m10k1                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                15                 0      12.398346286
     m10k2                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      15.392091231
     m10k3                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      17.463151891
     m10k4                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      19.564921757
     m10k5                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                 x                18                 0      22.411283283
